,prune_name,rgft_name,time,ll,orig_ds_ll
"0,0",N1,Sp053,0.157,-6391.576840,-6391.54992
"0,1",N1,Sp047,0.134,-6391.576834,-6391.54992
"1,0",Sp053,N1,0.137,-6391.576784,-6391.54992
"1,1",Sp053,Sp047,0.137,-6391.576784,-6391.54992
"1,2",Sp053,N4,no ll opt_no time,,-6391.54992
"1,3",Sp053,N5,no ll opt_no time,,-6391.54992
"1,4",Sp053,N6,no ll opt_no time,,-6391.54992
"1,5",Sp053,N7,no ll opt_no time,,-6391.54992
"1,6",Sp053,Sp049,no ll opt_no time,,-6391.54992
"1,7",Sp053,Sp046,no ll opt_no time,,-6391.54992
"1,8",Sp053,N10,no ll opt_no time,,-6391.54992
"1,9",Sp053,N11,no ll opt_no time,,-6391.54992
"1,10",Sp053,Sp050,no ll opt_no time,,-6391.54992
"1,11",Sp053,Sp048,no ll opt_no time,,-6391.54992
"1,12",Sp053,N14,no ll opt_no time,,-6391.54992
"1,13",Sp053,N15,no ll opt_no time,,-6391.54992
"1,14",Sp053,N16,no ll opt_no time,,-6391.54992
"1,15",Sp053,Sp024,no ll opt_no time,,-6391.54992
"1,16",Sp053,N18,no ll opt_no time,,-6391.54992
"1,17",Sp053,Sp018,no ll opt_no time,,-6391.54992
"1,18",Sp053,N20,no ll opt_no time,,-6391.54992
"1,19",Sp053,N21,no ll opt_no time,,-6391.54992
"1,20",Sp053,Sp052,no ll opt_no time,,-6391.54992
"1,21",Sp053,Sp051,no ll opt_no time,,-6391.54992
"1,22",Sp053,N24,no ll opt_no time,,-6391.54992
"1,23",Sp053,N25,no ll opt_no time,,-6391.54992
"1,24",Sp053,N26,no ll opt_no time,,-6391.54992
"1,25",Sp053,N27,no ll opt_no time,,-6391.54992
"1,26",Sp053,N28,no ll opt_no time,,-6391.54992
"1,27",Sp053,Sp036,no ll opt_no time,,-6391.54992
"1,28",Sp053,N30,no ll opt_no time,,-6391.54992
"1,29",Sp053,N31,no ll opt_no time,,-6391.54992
"1,30",Sp053,Sp027,no ll opt_no time,,-6391.54992
"1,31",Sp053,Sp025,no ll opt_no time,,-6391.54992
"1,32",Sp053,N34,no ll opt_no time,,-6391.54992
"1,33",Sp053,N35,no ll opt_no time,,-6391.54992
"1,34",Sp053,Sp038,no ll opt_no time,,-6391.54992
"1,35",Sp053,N37,no ll opt_no time,,-6391.54992
"1,36",Sp053,N38,no ll opt_no time,,-6391.54992
"1,37",Sp053,N39,no ll opt_no time,,-6391.54992
"1,38",Sp053,N40,no ll opt_no time,,-6391.54992
"1,39",Sp053,N41,no ll opt_no time,,-6391.54992
"1,40",Sp053,Sp035,no ll opt_no time,,-6391.54992
"1,41",Sp053,N43,no ll opt_no time,,-6391.54992
"1,42",Sp053,N44,no ll opt_no time,,-6391.54992
"1,43",Sp053,Sp001,no ll opt_no time,,-6391.54992
"1,44",Sp053,N46,no ll opt_no time,,-6391.54992
"1,45",Sp053,Sp023,no ll opt_no time,,-6391.54992
"1,46",Sp053,N48,no ll opt_no time,,-6391.54992
"1,47",Sp053,N49,no ll opt_no time,,-6391.54992
"1,48",Sp053,N50,no ll opt_no time,,-6391.54992
"1,49",Sp053,N51,no ll opt_no time,,-6391.54992
"1,50",Sp053,Sp031,no ll opt_no time,,-6391.54992
"1,51",Sp053,Sp017,no ll opt_no time,,-6391.54992
"1,52",Sp053,Sp044,no ll opt_no time,,-6391.54992
"1,53",Sp053,N55,no ll opt_no time,,-6391.54992
"1,54",Sp053,Sp016,no ll opt_no time,,-6391.54992
"1,55",Sp053,Sp005,no ll opt_no time,,-6391.54992
"1,56",Sp053,Sp029,no ll opt_no time,,-6391.54992
"1,57",Sp053,Sp007,no ll opt_no time,,-6391.54992
"1,58",Sp053,N60,no ll opt_no time,,-6391.54992
"1,59",Sp053,Sp000,no ll opt_no time,,-6391.54992
"1,60",Sp053,N62,no ll opt_no time,,-6391.54992
"1,61",Sp053,Sp003,no ll opt_no time,,-6391.54992
"1,62",Sp053,Sp028,no ll opt_no time,,-6391.54992
"1,63",Sp053,N65,no ll opt_no time,,-6391.54992
"1,64",Sp053,Sp020,no ll opt_no time,,-6391.54992
"1,65",Sp053,Sp010,no ll opt_no time,,-6391.54992
"1,66",Sp053,N68,no ll opt_no time,,-6391.54992
"1,67",Sp053,N69,no ll opt_no time,,-6391.54992
"1,68",Sp053,Sp039,no ll opt_no time,,-6391.54992
"1,69",Sp053,Sp034,no ll opt_no time,,-6391.54992
"1,70",Sp053,Sp040,no ll opt_no time,,-6391.54992
"1,71",Sp053,N73,no ll opt_no time,,-6391.54992
"1,72",Sp053,Sp045,no ll opt_no time,,-6391.54992
"1,73",Sp053,Sp006,no ll opt_no time,,-6391.54992
"1,74",Sp053,N76,no ll opt_no time,,-6391.54992
"1,75",Sp053,Sp014,no ll opt_no time,,-6391.54992
"1,76",Sp053,Sp026,no ll opt_no time,,-6391.54992
"1,77",Sp053,Sp021,no ll opt_no time,,-6391.54992
"1,78",Sp053,N80,no ll opt_no time,,-6391.54992
"1,79",Sp053,N81,no ll opt_no time,,-6391.54992
"1,80",Sp053,Sp032,no ll opt_no time,,-6391.54992
"1,81",Sp053,N83,no ll opt_no time,,-6391.54992
"1,82",Sp053,N84,no ll opt_no time,,-6391.54992
"1,83",Sp053,Sp030,no ll opt_no time,,-6391.54992
"1,84",Sp053,N86,no ll opt_no time,,-6391.54992
"1,85",Sp053,Sp002,no ll opt_no time,,-6391.54992
"1,86",Sp053,N88,no ll opt_no time,,-6391.54992
"1,87",Sp053,N89,no ll opt_no time,,-6391.54992
"1,88",Sp053,Sp015,no ll opt_no time,,-6391.54992
"1,89",Sp053,Sp009,no ll opt_no time,,-6391.54992
"1,90",Sp053,Sp019,no ll opt_no time,,-6391.54992
"1,91",Sp053,Sp013,no ll opt_no time,,-6391.54992
"1,92",Sp053,Sp033,no ll opt_no time,,-6391.54992
"1,93",Sp053,Sp008,no ll opt_no time,,-6391.54992
"1,94",Sp053,Sp041,no ll opt_no time,,-6391.54992
"1,95",Sp053,Sp012,no ll opt_no time,,-6391.54992
"1,96",Sp053,Sp043,no ll opt_no time,,-6391.54992
"1,97",Sp053,Sp011,no ll opt_no time,,-6391.54992
"1,98",Sp053,Sp042,no ll opt_no time,,-6391.54992
"1,99",Sp053,N101,no ll opt_no time,,-6391.54992
"1,100",Sp053,N102,no ll opt_no time,,-6391.54992
"1,101",Sp053,Sp022,no ll opt_no time,,-6391.54992
"1,102",Sp053,Sp037,no ll opt_no time,,-6391.54992
"1,103",Sp053,Sp004,no ll opt_no time,,-6391.54992
"2,0",Sp047,N1,0.136,-6391.576784,-6391.54992
"2,1",Sp047,Sp053,0.134,-6391.576784,-6391.54992
"2,2",Sp047,N4,no ll opt_no time,,-6391.54992
"2,3",Sp047,N5,no ll opt_no time,,-6391.54992
"2,4",Sp047,N6,no ll opt_no time,,-6391.54992
"2,5",Sp047,N7,no ll opt_no time,,-6391.54992
"2,6",Sp047,Sp049,no ll opt_no time,,-6391.54992
"2,7",Sp047,Sp046,no ll opt_no time,,-6391.54992
"2,8",Sp047,N10,no ll opt_no time,,-6391.54992
"2,9",Sp047,N11,no ll opt_no time,,-6391.54992
"2,10",Sp047,Sp050,no ll opt_no time,,-6391.54992
"2,11",Sp047,Sp048,no ll opt_no time,,-6391.54992
"2,12",Sp047,N14,no ll opt_no time,,-6391.54992
"2,13",Sp047,N15,no ll opt_no time,,-6391.54992
"2,14",Sp047,N16,no ll opt_no time,,-6391.54992
"2,15",Sp047,Sp024,no ll opt_no time,,-6391.54992
"2,16",Sp047,N18,no ll opt_no time,,-6391.54992
"2,17",Sp047,Sp018,no ll opt_no time,,-6391.54992
"2,18",Sp047,N20,no ll opt_no time,,-6391.54992
"2,19",Sp047,N21,no ll opt_no time,,-6391.54992
"2,20",Sp047,Sp052,no ll opt_no time,,-6391.54992
"2,21",Sp047,Sp051,no ll opt_no time,,-6391.54992
"2,22",Sp047,N24,no ll opt_no time,,-6391.54992
"2,23",Sp047,N25,no ll opt_no time,,-6391.54992
"2,24",Sp047,N26,no ll opt_no time,,-6391.54992
"2,25",Sp047,N27,no ll opt_no time,,-6391.54992
"2,26",Sp047,N28,no ll opt_no time,,-6391.54992
"2,27",Sp047,Sp036,no ll opt_no time,,-6391.54992
"2,28",Sp047,N30,no ll opt_no time,,-6391.54992
"2,29",Sp047,N31,no ll opt_no time,,-6391.54992
"2,30",Sp047,Sp027,no ll opt_no time,,-6391.54992
"2,31",Sp047,Sp025,no ll opt_no time,,-6391.54992
"2,32",Sp047,N34,no ll opt_no time,,-6391.54992
"2,33",Sp047,N35,no ll opt_no time,,-6391.54992
"2,34",Sp047,Sp038,no ll opt_no time,,-6391.54992
"2,35",Sp047,N37,no ll opt_no time,,-6391.54992
"2,36",Sp047,N38,no ll opt_no time,,-6391.54992
"2,37",Sp047,N39,no ll opt_no time,,-6391.54992
"2,38",Sp047,N40,no ll opt_no time,,-6391.54992
"2,39",Sp047,N41,no ll opt_no time,,-6391.54992
"2,40",Sp047,Sp035,no ll opt_no time,,-6391.54992
"2,41",Sp047,N43,no ll opt_no time,,-6391.54992
"2,42",Sp047,N44,no ll opt_no time,,-6391.54992
"2,43",Sp047,Sp001,no ll opt_no time,,-6391.54992
"2,44",Sp047,N46,no ll opt_no time,,-6391.54992
"2,45",Sp047,Sp023,no ll opt_no time,,-6391.54992
"2,46",Sp047,N48,no ll opt_no time,,-6391.54992
"2,47",Sp047,N49,no ll opt_no time,,-6391.54992
"2,48",Sp047,N50,no ll opt_no time,,-6391.54992
"2,49",Sp047,N51,no ll opt_no time,,-6391.54992
"2,50",Sp047,Sp031,no ll opt_no time,,-6391.54992
"2,51",Sp047,Sp017,no ll opt_no time,,-6391.54992
"2,52",Sp047,Sp044,no ll opt_no time,,-6391.54992
"2,53",Sp047,N55,no ll opt_no time,,-6391.54992
"2,54",Sp047,Sp016,no ll opt_no time,,-6391.54992
"2,55",Sp047,Sp005,no ll opt_no time,,-6391.54992
"2,56",Sp047,Sp029,no ll opt_no time,,-6391.54992
"2,57",Sp047,Sp007,no ll opt_no time,,-6391.54992
"2,58",Sp047,N60,no ll opt_no time,,-6391.54992
"2,59",Sp047,Sp000,no ll opt_no time,,-6391.54992
"2,60",Sp047,N62,no ll opt_no time,,-6391.54992
"2,61",Sp047,Sp003,no ll opt_no time,,-6391.54992
"2,62",Sp047,Sp028,no ll opt_no time,,-6391.54992
"2,63",Sp047,N65,no ll opt_no time,,-6391.54992
"2,64",Sp047,Sp020,no ll opt_no time,,-6391.54992
"2,65",Sp047,Sp010,no ll opt_no time,,-6391.54992
"2,66",Sp047,N68,no ll opt_no time,,-6391.54992
"2,67",Sp047,N69,no ll opt_no time,,-6391.54992
"2,68",Sp047,Sp039,no ll opt_no time,,-6391.54992
"2,69",Sp047,Sp034,no ll opt_no time,,-6391.54992
"2,70",Sp047,Sp040,no ll opt_no time,,-6391.54992
"2,71",Sp047,N73,no ll opt_no time,,-6391.54992
"2,72",Sp047,Sp045,no ll opt_no time,,-6391.54992
"2,73",Sp047,Sp006,no ll opt_no time,,-6391.54992
"2,74",Sp047,N76,no ll opt_no time,,-6391.54992
"2,75",Sp047,Sp014,no ll opt_no time,,-6391.54992
"2,76",Sp047,Sp026,no ll opt_no time,,-6391.54992
"2,77",Sp047,Sp021,no ll opt_no time,,-6391.54992
"2,78",Sp047,N80,no ll opt_no time,,-6391.54992
"2,79",Sp047,N81,no ll opt_no time,,-6391.54992
"2,80",Sp047,Sp032,no ll opt_no time,,-6391.54992
"2,81",Sp047,N83,no ll opt_no time,,-6391.54992
"2,82",Sp047,N84,no ll opt_no time,,-6391.54992
"2,83",Sp047,Sp030,no ll opt_no time,,-6391.54992
"2,84",Sp047,N86,no ll opt_no time,,-6391.54992
"2,85",Sp047,Sp002,no ll opt_no time,,-6391.54992
"2,86",Sp047,N88,no ll opt_no time,,-6391.54992
"2,87",Sp047,N89,no ll opt_no time,,-6391.54992
"2,88",Sp047,Sp015,no ll opt_no time,,-6391.54992
"2,89",Sp047,Sp009,no ll opt_no time,,-6391.54992
"2,90",Sp047,Sp019,no ll opt_no time,,-6391.54992
"2,91",Sp047,Sp013,no ll opt_no time,,-6391.54992
"2,92",Sp047,Sp033,no ll opt_no time,,-6391.54992
"2,93",Sp047,Sp008,no ll opt_no time,,-6391.54992
"2,94",Sp047,Sp041,no ll opt_no time,,-6391.54992
"2,95",Sp047,Sp012,no ll opt_no time,,-6391.54992
"2,96",Sp047,Sp043,no ll opt_no time,,-6391.54992
"2,97",Sp047,Sp011,no ll opt_no time,,-6391.54992
"2,98",Sp047,Sp042,no ll opt_no time,,-6391.54992
"2,99",Sp047,N101,no ll opt_no time,,-6391.54992
"2,100",Sp047,N102,no ll opt_no time,,-6391.54992
"2,101",Sp047,Sp022,no ll opt_no time,,-6391.54992
"2,102",Sp047,Sp037,no ll opt_no time,,-6391.54992
"2,103",Sp047,Sp004,no ll opt_no time,,-6391.54992
"3,0",N4,Sp053,0.102,-6472.959530,-6391.54992
"3,1",N4,Sp047,0.105,-6474.065718,-6391.54992
"3,2",N4,N5,0.123,-6391.576802,-6391.54992
"3,3",N4,Sp049,0.105,-6419.480995,-6391.54992
"3,4",N4,Sp046,0.101,-6421.858731,-6391.54992
"4,0",N5,Sp053,0.109,-6474.065439,-6391.54992
"4,1",N5,Sp047,0.113,-6472.959131,-6391.54992
"4,2",N5,N4,0.102,-6391.576781,-6391.54992
"4,3",N5,N6,0.098,-6391.577042,-6391.54992
"4,4",N5,N7,0.097,-6391.577129,-6391.54992
"4,5",N5,N10,0.101,-6462.700498,-6391.54992
"4,6",N5,N11,0.104,-6462.704786,-6391.54992
"4,7",N5,Sp050,0.106,-6416.245921,-6391.54992
"4,8",N5,Sp048,0.107,-6416.245840,-6391.54992
"4,9",N5,N14,0.106,-6462.706392,-6391.54992
"4,10",N5,N15,0.104,-6462.706389,-6391.54992
"4,11",N5,N16,0.104,-6470.801591,-6391.54992
"4,12",N5,Sp024,0.107,-6470.329229,-6391.54992
"4,13",N5,N18,0.105,-6476.537029,-6391.54992
"4,14",N5,Sp018,0.103,-6476.537788,-6391.54992
"4,15",N5,N20,0.103,-6462.706391,-6391.54992
"4,16",N5,N21,0.101,-6462.706318,-6391.54992
"4,17",N5,Sp052,0.103,-6521.452617,-6391.54992
"4,18",N5,Sp051,0.106,-6521.452593,-6391.54992
"4,19",N5,N24,0.102,-6480.121032,-6391.54992
"4,20",N5,N25,0.103,-6480.121166,-6391.54992
"4,21",N5,N26,0.101,-6466.687747,-6391.54992
"4,22",N5,N27,0.100,-6466.687758,-6391.54992
"4,23",N5,N28,0.101,-6462.705831,-6391.54992
"4,24",N5,Sp036,0.109,-6462.706129,-6391.54992
"4,25",N5,N30,0.103,-6480.120774,-6391.54992
"4,26",N5,N31,0.107,-6480.120884,-6391.54992
"4,27",N5,Sp027,0.110,-6482.832731,-6391.54992
"4,28",N5,Sp025,0.110,-6482.832915,-6391.54992
"4,29",N5,N34,0.117,-6476.354019,-6391.54992
"4,30",N5,N35,0.099,-6476.354057,-6391.54992
"4,31",N5,Sp038,0.111,-6466.687245,-6391.54992
"4,32",N5,N37,0.101,-6466.687449,-6391.54992
"4,33",N5,N38,0.105,-6467.735514,-6391.54992
"4,34",N5,N39,0.105,-6467.735263,-6391.54992
"4,35",N5,N40,0.104,-6484.657070,-6391.54992
"4,36",N5,N41,0.104,-6484.657060,-6391.54992
