,prune_name,rgft_name,time,ll,orig_ds_ll
"0,0",N1,Sp029,0.126,-29641.984946,-29641.98467
"0,1",N1,Sp014,0.116,-29641.985192,-29641.98467
"1,0",Sp029,N1,0.122,-29641.984700,-29641.98467
"1,1",Sp029,Sp014,0.114,-29641.984639,-29641.98467
"1,2",Sp029,N4,no ll opt_no time,,-29641.98467
"1,3",Sp029,Sp011,no ll opt_no time,,-29641.98467
"1,4",Sp029,N6,no ll opt_no time,,-29641.98467
"1,5",Sp029,Sp031,no ll opt_no time,,-29641.98467
"1,6",Sp029,N8,no ll opt_no time,,-29641.98467
"1,7",Sp029,Sp018,no ll opt_no time,,-29641.98467
"1,8",Sp029,N10,no ll opt_no time,,-29641.98467
"1,9",Sp029,Sp002,no ll opt_no time,,-29641.98467
"1,10",Sp029,N12,no ll opt_no time,,-29641.98467
"1,11",Sp029,N13,no ll opt_no time,,-29641.98467
"1,12",Sp029,N14,no ll opt_no time,,-29641.98467
"1,13",Sp029,N15,no ll opt_no time,,-29641.98467
"1,14",Sp029,N16,no ll opt_no time,,-29641.98467
"1,15",Sp029,Sp006,no ll opt_no time,,-29641.98467
"1,16",Sp029,N18,no ll opt_no time,,-29641.98467
"1,17",Sp029,N19,no ll opt_no time,,-29641.98467
"1,18",Sp029,N20,no ll opt_no time,,-29641.98467
"1,19",Sp029,Sp003,no ll opt_no time,,-29641.98467
"1,20",Sp029,N22,no ll opt_no time,,-29641.98467
"1,21",Sp029,Sp005,no ll opt_no time,,-29641.98467
"1,22",Sp029,Sp033,no ll opt_no time,,-29641.98467
"1,23",Sp029,Sp007,no ll opt_no time,,-29641.98467
"1,24",Sp029,N26,no ll opt_no time,,-29641.98467
"1,25",Sp029,Sp001,no ll opt_no time,,-29641.98467
"1,26",Sp029,Sp034,no ll opt_no time,,-29641.98467
"1,27",Sp029,Sp009,no ll opt_no time,,-29641.98467
"1,28",Sp029,N30,no ll opt_no time,,-29641.98467
"1,29",Sp029,N31,no ll opt_no time,,-29641.98467
"1,30",Sp029,N32,no ll opt_no time,,-29641.98467
"1,31",Sp029,Sp013,no ll opt_no time,,-29641.98467
"1,32",Sp029,N34,no ll opt_no time,,-29641.98467
"1,33",Sp029,Sp016,no ll opt_no time,,-29641.98467
"1,34",Sp029,Sp017,no ll opt_no time,,-29641.98467
"1,35",Sp029,Sp010,no ll opt_no time,,-29641.98467
"1,36",Sp029,Sp030,no ll opt_no time,,-29641.98467
"1,37",Sp029,Sp000,no ll opt_no time,,-29641.98467
"1,38",Sp029,N40,no ll opt_no time,,-29641.98467
"1,39",Sp029,N41,no ll opt_no time,,-29641.98467
"1,40",Sp029,N42,no ll opt_no time,,-29641.98467
"1,41",Sp029,Sp032,no ll opt_no time,,-29641.98467
"1,42",Sp029,N44,no ll opt_no time,,-29641.98467
"1,43",Sp029,Sp004,no ll opt_no time,,-29641.98467
"1,44",Sp029,Sp035,no ll opt_no time,,-29641.98467
"1,45",Sp029,N47,no ll opt_no time,,-29641.98467
"1,46",Sp029,Sp028,no ll opt_no time,,-29641.98467
"1,47",Sp029,N49,no ll opt_no time,,-29641.98467
"1,48",Sp029,N50,no ll opt_no time,,-29641.98467
"1,49",Sp029,Sp008,no ll opt_no time,,-29641.98467
"1,50",Sp029,N52,no ll opt_no time,,-29641.98467
"1,51",Sp029,N53,no ll opt_no time,,-29641.98467
"1,52",Sp029,Sp015,no ll opt_no time,,-29641.98467
"1,53",Sp029,Sp012,no ll opt_no time,,-29641.98467
"1,54",Sp029,N56,no ll opt_no time,,-29641.98467
"1,55",Sp029,Sp023,no ll opt_no time,,-29641.98467
"1,56",Sp029,Sp021,no ll opt_no time,,-29641.98467
"1,57",Sp029,Sp020,no ll opt_no time,,-29641.98467
"1,58",Sp029,Sp027,no ll opt_no time,,-29641.98467
"1,59",Sp029,N61,no ll opt_no time,,-29641.98467
"1,60",Sp029,Sp026,no ll opt_no time,,-29641.98467
"1,61",Sp029,N63,no ll opt_no time,,-29641.98467
"1,62",Sp029,Sp025,no ll opt_no time,,-29641.98467
"1,63",Sp029,N65,no ll opt_no time,,-29641.98467
"1,64",Sp029,N66,no ll opt_no time,,-29641.98467
"1,65",Sp029,Sp022,no ll opt_no time,,-29641.98467
"1,66",Sp029,Sp024,no ll opt_no time,,-29641.98467
"1,67",Sp029,Sp019,no ll opt_no time,,-29641.98467
"2,0",Sp014,N1,0.112,-29641.984689,-29641.98467
"2,1",Sp014,Sp029,0.116,-29641.984638,-29641.98467
"2,2",Sp014,N4,no ll opt_no time,,-29641.98467
"2,3",Sp014,Sp011,no ll opt_no time,,-29641.98467
"2,4",Sp014,N6,no ll opt_no time,,-29641.98467
"2,5",Sp014,Sp031,no ll opt_no time,,-29641.98467
"2,6",Sp014,N8,no ll opt_no time,,-29641.98467
"2,7",Sp014,Sp018,no ll opt_no time,,-29641.98467
"2,8",Sp014,N10,no ll opt_no time,,-29641.98467
"2,9",Sp014,Sp002,no ll opt_no time,,-29641.98467
"2,10",Sp014,N12,no ll opt_no time,,-29641.98467
"2,11",Sp014,N13,no ll opt_no time,,-29641.98467
