,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_rgft,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining,topology_dist_between,tbl_dist_between,res_tree_edge_length
1,33,Sp020,Sp006,no ll opt_no time,,-1751.80239,nan,0.00148433,0.043399,0.0014843299999999504,0.00148433,0.11773229999999998,0.043399,9.0,0.18071531000000002,0.160491
1,34,Sp020,N36,no ll opt_no time,,-1751.80239,nan,1e-08,0.043399,0.11921662999999993,0.043399,0.0,0.0,9.0,0.17923252,0.160491
1,35,Sp020,Sp000,no ll opt_no time,,-1751.80239,nan,0.00164338,0.043399,0.0016433799999999443,0.00164338,0.11757324999999999,0.043399,9.0,0.18087548,0.160491
1,36,Sp020,Sp012,no ll opt_no time,,-1751.80239,nan,0.043399,0.043399,0.04339899999999995,0.043399,0.07581762999999998,0.01205818,10.0,0.22263151999999997,0.160491
1,37,Sp020,Sp001,no ll opt_no time,,-1751.80239,nan,1e-08,0.043399,9.99999993922529e-09,1e-08,0.11921662,0.043399,10.0,0.17923253,0.160491
2,0,Sp015,N1,0.104,-1751.815199,-1751.80239,-0.01280899999983375892,0.1705918,0.1705918,0.27775025,0.1705918,0.0,0.0,3.0,0.012058180000000002,0.00195738
2,1,Sp015,Sp020,0.104,-1751.813488,-1751.80239,-0.01109799999994720565,0.1705918,0.1705918,0.17059179999999996,0.1705918,0.10715845,0.043399,3.0,0.16244838,0.00195738
2,2,Sp015,N4,no ll opt_no time,,-1751.80239,nan,0.0051809,0.1705918,0.09164941999999998,0.1705918,0.18610083,0.1705918,4.0,0.01723908,0.00195738
2,3,Sp015,N5,no ll opt_no time,,-1751.80239,nan,0.00374005,0.1705918,0.27775025,0.00374005,0.0,0.0,4.0,0.020683800000000002,0.00195738
2,4,Sp015,N6,no ll opt_no time,,-1751.80239,nan,0.00345792,0.1705918,0.06682363999999999,0.1705918,0.21092661,0.1705918,5.0,0.020697,0.00195738
2,5,Sp015,N7,no ll opt_no time,,-1751.80239,nan,0.012024,0.1705918,0.27774949,0.012024,7.6e-07,7.5e-07,5.0,0.01723923,0.00195738
2,6,Sp015,N8,no ll opt_no time,,-1751.80239,nan,7e-08,0.1705918,0.27775002,0.00314281,2.3000000000000002e-07,1.1e-07,5.0,0.020683950000000003,0.00195738
2,7,Sp015,Sp009,no ll opt_no time,,-1751.80239,nan,0.00374005,0.1705918,0.0037400499999999948,0.00374005,0.2740102,0.1705918,5.0,0.02442385,0.00195738
2,8,Sp015,N10,no ll opt_no time,,-1751.80239,nan,2e-07,0.1705918,0.046528809999999976,0.1705918,0.23122144,0.1705918,6.0,0.020697200000000002,0.00195738
2,9,Sp015,N11,no ll opt_no time,,-1751.80239,nan,0.00844103,0.1705918,0.27775025,0.00844103,0.0,0.0,6.0,0.02403879,0.00195738
2,10,Sp015,Sp018,no ll opt_no time,,-1751.80239,nan,0.00761997,0.1705918,0.0076199700000000314,0.00761997,0.27013027999999994,0.1705918,6.0,0.0248592,0.00195738
2,11,Sp015,N13,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,0.27775025,7.5e-07,0.0,0.0,6.0,0.02926323,0.00195738
2,12,Sp015,N14,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,0.27775025,0.00314281,0.0,0.0,6.0,0.02068404,0.00195738
2,13,Sp015,N15,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,0.27775025,1.1e-07,0.0,0.0,6.0,0.02068402,0.00195738
2,14,Sp015,N16,no ll opt_no time,,-1751.80239,nan,8e-08,0.1705918,0.0014845099999999944,0.1705918,0.27626574,0.1705918,7.0,0.020697280000000002,0.00195738
2,15,Sp015,N17,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,0.27775025,0.043399,0.0,0.0,7.0,0.02069774,0.00195738
2,16,Sp015,N18,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,0.27775025,1e-08,0.0,0.0,7.0,0.029092859999999998,0.00195738
2,17,Sp015,Sp013,no ll opt_no time,,-1751.80239,nan,0.00844103,0.1705918,0.00844102999999996,0.00844103,0.26930922,0.1705918,7.0,0.03247982,0.00195738
2,18,Sp015,Sp017,no ll opt_no time,,-1751.80239,nan,7.5e-07,0.1705918,7.500000000493223e-07,7.5e-07,0.2777494999999999,0.1705918,7.0,0.029263980000000002,0.00195738
2,19,Sp015,Sp014,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,1.0000000050247593e-08,1e-08,0.2777502399999999,0.1705918,7.0,0.02926324,0.00195738
2,20,Sp015,Sp011,no ll opt_no time,,-1751.80239,nan,0.00314281,0.1705918,0.003142809999999996,0.00314281,0.27460744,0.1705918,7.0,0.02382685,0.00195738
2,21,Sp015,Sp004,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,9.999999994736442e-09,1e-08,0.27775024,0.1705918,7.0,0.02068405,0.00195738
2,22,Sp015,N24,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,0.27775025,1.1e-07,0.0,0.0,7.0,0.020684120000000004,0.00195738
2,23,Sp015,Sp005,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,9.999999994736442e-09,1e-08,0.27775024,0.1705918,7.0,0.020684030000000003,0.00195738
2,24,Sp015,N26,no ll opt_no time,,-1751.80239,nan,8e-08,0.1705918,0.0014844199999999863,0.1705918,0.27626583,0.1705918,8.0,0.02069736,0.00195738
2,25,Sp015,Sp008,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,9.999999994736442e-09,1e-08,0.27775024,0.1705918,8.0,0.02069729,0.00195738
2,26,Sp015,N28,no ll opt_no time,,-1751.80239,nan,0.00164338,0.1705918,0.27775025,0.043399,0.0,0.0,8.0,0.020698480000000002,0.00195738
2,27,Sp015,Sp002,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,9.99999993922529e-09,1e-08,0.27775024000000004,0.1705918,8.0,0.02069775,0.00195738
2,28,Sp015,Sp019,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,9.99999993922529e-09,1e-08,0.27775024000000004,0.1705918,8.0,0.02909287,0.00195738
2,29,Sp015,Sp016,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,9.99999993922529e-09,1e-08,0.27775024000000004,0.1705918,8.0,0.02909287,0.00195738
2,30,Sp015,Sp010,no ll opt_no time,,-1751.80239,nan,1.1e-07,0.1705918,1.0999999999761201e-07,1.1e-07,0.27775014,0.1705918,8.0,0.02068423,0.00195738
2,31,Sp015,Sp003,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,9.999999994736442e-09,1e-08,0.27775024,0.1705918,8.0,0.020684130000000002,0.00195738
2,32,Sp015,Sp007,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,9.999999994736442e-09,1e-08,0.27775024,0.1705918,9.0,0.02069737,0.00195738
2,33,Sp015,Sp006,no ll opt_no time,,-1751.80239,nan,0.00148433,0.1705918,0.0014843299999999782,0.00148433,0.27626592,0.1705918,9.0,0.02218169,0.00195738
2,34,Sp015,N36,no ll opt_no time,,-1751.80239,nan,1e-08,0.1705918,0.27775025,0.043399,0.0,0.0,9.0,0.0206989,0.00195738
