,prune_name,rgft_name,time,ll,orig_ds_ll,d_ll_prune,edge_length,longest_branch,tbl_pruned,longest_pruned,tbl_remaining,longest_remaining
2,5,Sp015,N7,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,6,Sp015,N8,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,7,Sp015,Sp009,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,8,Sp015,N10,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,9,Sp015,N11,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,10,Sp015,Sp018,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,11,Sp015,N13,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,12,Sp015,N14,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,13,Sp015,N15,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,14,Sp015,N16,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,15,Sp015,N17,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,16,Sp015,N18,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,17,Sp015,Sp013,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,18,Sp015,Sp017,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,19,Sp015,Sp014,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,20,Sp015,Sp011,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
2,21,Sp015,Sp004,no ll opt_no time,,-1751.80239,nan,0.00195738,0.160491,0.0019573800000000086,0.00195738,0.27775025,0.160491
