,prune_name,rgft_name,time,ll,orig_ds_ll
"0,0",N1,Sp019,0.095,-4099.537881,-4099.53403
"0,1",N1,Sp001,0.133,-4099.537890,-4099.53403
"1,0",Sp019,N1,0.093,-4099.538050,-4099.53403
"1,1",Sp019,Sp001,0.097,-4099.537884,-4099.53403
"1,2",Sp019,N4,no ll opt_no time,,-4099.53403
"1,3",Sp019,Sp000,no ll opt_no time,,-4099.53403
"1,4",Sp019,N6,no ll opt_no time,,-4099.53403
"1,5",Sp019,N7,no ll opt_no time,,-4099.53403
"1,6",Sp019,N8,no ll opt_no time,,-4099.53403
"1,7",Sp019,N9,no ll opt_no time,,-4099.53403
"1,8",Sp019,N10,no ll opt_no time,,-4099.53403
"1,9",Sp019,N11,no ll opt_no time,,-4099.53403
"1,10",Sp019,N12,no ll opt_no time,,-4099.53403
"1,11",Sp019,Sp013,no ll opt_no time,,-4099.53403
"1,12",Sp019,Sp018,no ll opt_no time,,-4099.53403
"1,13",Sp019,N15,no ll opt_no time,,-4099.53403
"1,14",Sp019,N16,no ll opt_no time,,-4099.53403
"1,15",Sp019,Sp004,no ll opt_no time,,-4099.53403
"1,16",Sp019,Sp010,no ll opt_no time,,-4099.53403
"1,17",Sp019,Sp003,no ll opt_no time,,-4099.53403
"1,18",Sp019,N20,no ll opt_no time,,-4099.53403
"1,19",Sp019,Sp015,no ll opt_no time,,-4099.53403
"1,20",Sp019,N22,no ll opt_no time,,-4099.53403
"1,21",Sp019,Sp008,no ll opt_no time,,-4099.53403
"1,22",Sp019,N24,no ll opt_no time,,-4099.53403
"1,23",Sp019,Sp007,no ll opt_no time,,-4099.53403
"1,24",Sp019,N26,no ll opt_no time,,-4099.53403
"1,25",Sp019,N27,no ll opt_no time,,-4099.53403
"1,26",Sp019,N28,no ll opt_no time,,-4099.53403
"1,27",Sp019,Sp002,no ll opt_no time,,-4099.53403
"1,28",Sp019,Sp016,no ll opt_no time,,-4099.53403
"1,29",Sp019,Sp012,no ll opt_no time,,-4099.53403
"1,30",Sp019,Sp009,no ll opt_no time,,-4099.53403
"1,31",Sp019,Sp005,no ll opt_no time,,-4099.53403
"1,32",Sp019,Sp014,no ll opt_no time,,-4099.53403
"1,33",Sp019,Sp011,no ll opt_no time,,-4099.53403
"1,34",Sp019,Sp017,no ll opt_no time,,-4099.53403
"1,35",Sp019,Sp006,no ll opt_no time,,-4099.53403
"2,0",Sp001,N1,0.124,-4099.537971,-4099.53403
"2,1",Sp001,Sp019,0.123,-4099.537886,-4099.53403
"2,2",Sp001,N4,no ll opt_no time,,-4099.53403
"2,3",Sp001,Sp000,no ll opt_no time,,-4099.53403
"2,4",Sp001,N6,no ll opt_no time,,-4099.53403
"2,5",Sp001,N7,no ll opt_no time,,-4099.53403
"2,6",Sp001,N8,no ll opt_no time,,-4099.53403
"2,7",Sp001,N9,no ll opt_no time,,-4099.53403
"2,8",Sp001,N10,no ll opt_no time,,-4099.53403
"2,9",Sp001,N11,no ll opt_no time,,-4099.53403
"2,10",Sp001,N12,no ll opt_no time,,-4099.53403
"2,11",Sp001,Sp013,no ll opt_no time,,-4099.53403
"2,12",Sp001,Sp018,no ll opt_no time,,-4099.53403
"2,13",Sp001,N15,no ll opt_no time,,-4099.53403
"2,14",Sp001,N16,no ll opt_no time,,-4099.53403
"2,15",Sp001,Sp004,no ll opt_no time,,-4099.53403
"2,16",Sp001,Sp010,no ll opt_no time,,-4099.53403
"2,17",Sp001,Sp003,no ll opt_no time,,-4099.53403
"2,18",Sp001,N20,no ll opt_no time,,-4099.53403
"2,19",Sp001,Sp015,no ll opt_no time,,-4099.53403
"2,20",Sp001,N22,no ll opt_no time,,-4099.53403
"2,21",Sp001,Sp008,no ll opt_no time,,-4099.53403
"2,22",Sp001,N24,no ll opt_no time,,-4099.53403
"2,23",Sp001,Sp007,no ll opt_no time,,-4099.53403
"2,24",Sp001,N26,no ll opt_no time,,-4099.53403
"2,25",Sp001,N27,no ll opt_no time,,-4099.53403
"2,26",Sp001,N28,no ll opt_no time,,-4099.53403
"2,27",Sp001,Sp002,no ll opt_no time,,-4099.53403
"2,28",Sp001,Sp016,no ll opt_no time,,-4099.53403
"2,29",Sp001,Sp012,no ll opt_no time,,-4099.53403
"2,30",Sp001,Sp009,no ll opt_no time,,-4099.53403
"2,31",Sp001,Sp005,no ll opt_no time,,-4099.53403
"2,32",Sp001,Sp014,no ll opt_no time,,-4099.53403
"2,33",Sp001,Sp011,no ll opt_no time,,-4099.53403
"2,34",Sp001,Sp017,no ll opt_no time,,-4099.53403
"2,35",Sp001,Sp006,no ll opt_no time,,-4099.53403
"3,0",N4,Sp019,0.122,-4105.938552,-4099.53403
"3,1",N4,Sp001,0.125,-4100.477080,-4099.53403
"3,2",N4,Sp000,0.127,-4099.537884,-4099.53403
"4,0",Sp000,Sp019,0.123,-4100.481421,-4099.53403
"4,1",Sp000,Sp001,0.125,-4105.940633,-4099.53403
"4,2",Sp000,N4,0.124,-4099.537880,-4099.53403
"4,3",Sp000,N6,0.127,-4163.958502,-4099.53403
"4,4",Sp000,N7,0.124,-4163.958477,-4099.53403
"4,5",Sp000,N8,0.125,-4175.389981,-4099.53403
"4,6",Sp000,N9,0.126,-4175.391276,-4099.53403
"4,7",Sp000,N10,0.123,-4175.462177,-4099.53403
"4,8",Sp000,N11,0.125,-4175.077623,-4099.53403
"4,9",Sp000,N12,0.119,-4182.241575,-4099.53403
"4,10",Sp000,Sp013,0.119,-4182.372930,-4099.53403
"4,11",Sp000,Sp018,0.122,-4177.541840,-4099.53403
"4,12",Sp000,N15,0.122,-4176.321393,-4099.53403
"4,13",Sp000,N16,0.124,-4181.851220,-4099.53403
"4,14",Sp000,Sp004,0.122,-4182.891734,-4099.53403
"4,15",Sp000,Sp010,0.127,-4184.179881,-4099.53403
"4,16",Sp000,Sp003,0.120,-4183.615402,-4099.53403
"4,17",Sp000,N20,0.125,-4181.483770,-4099.53403
"4,18",Sp000,Sp015,0.126,-4182.653549,-4099.53403
"4,19",Sp000,N22,0.126,-4176.321382,-4099.53403
"4,20",Sp000,Sp008,0.129,-4176.321497,-4099.53403
"4,21",Sp000,N24,0.124,-4188.538165,-4099.53403
"4,22",Sp000,Sp007,0.126,-4188.544104,-4099.53403
"4,23",Sp000,N26,0.126,-4179.430611,-4099.53403
"4,24",Sp000,N27,0.122,-4181.486757,-4099.53403
"4,25",Sp000,N28,0.121,-4177.561137,-4099.53403
"4,26",Sp000,Sp002,0.123,-4177.626783,-4099.53403
"4,27",Sp000,Sp016,0.122,-4193.788906,-4099.53403
"4,28",Sp000,Sp012,0.123,-4193.592077,-4099.53403
"4,29",Sp000,Sp009,0.127,-4179.556234,-4099.53403
"4,30",Sp000,Sp005,0.124,-4179.556234,-4099.53403
"4,31",Sp000,Sp014,0.121,-4181.486839,-4099.53403
"4,32",Sp000,Sp011,0.125,-4181.369460,-4099.53403
"4,33",Sp000,Sp017,0.126,-4180.085331,-4099.53403
"4,34",Sp000,Sp006,0.123,-4180.085111,-4099.53403
"5,0",N6,N1,0.125,-4163.959882,-4099.53403
"5,1",N6,Sp019,0.104,-4310.309228,-4099.53403
"5,2",N6,Sp001,0.103,-4310.309044,-4099.53403
"5,3",N6,Sp000,0.094,-4163.958900,-4099.53403
"5,4",N6,N7,0.101,-4099.537926,-4099.53403
"5,5",N6,N10,0.096,-4108.726091,-4099.53403
"5,6",N6,N11,0.092,-4107.340966,-4099.53403
"5,7",N6,N16,0.092,-4123.754720,-4099.53403
"5,8",N6,Sp004,0.099,-4123.785803,-4099.53403
"5,9",N6,Sp010,0.095,-4157.268761,-4099.53403
"5,10",N6,Sp003,0.097,-4156.570279,-4099.53403
"5,11",N6,N24,0.097,-4188.623648,-4099.53403
"5,12",N6,Sp007,0.094,-4188.623195,-4099.53403
"5,13",N6,Sp016,0.092,-4209.046811,-4099.53403
"5,14",N6,Sp012,0.093,-4209.046686,-4099.53403
"6,0",N7,N1,0.091,-4163.959510,-4099.53403
"6,1",N7,Sp019,0.103,-4310.309115,-4099.53403
"6,2",N7,Sp001,0.101,-4310.308928,-4099.53403
